Code,Hotel Name,Roomnights,Sale,Cost,Date,Country
CODE|83406,BEST WESTERN PLUS Hotel Galles,292,7300,4964,"01, 2019",Italy
CODE|83371,Best Western Plus Hotel Galileo Padova,384,8448,5760,"03, 2019",Italy
CODE|83336,BEST WESTERN PLUS Hotel Erb,1410,35250,25380,"01, 2019",Germany
CODE|83301,Best Western Plus Hotel Diana,11,275,176,"03, 2019",Australia
CODE|83266,Best Western Plus Hotel De Capuleti,1137,25014,21603,"12, 2019",Italy
CODE|83231,Best Western Plus Hotel Business Faltom,372,10416,6324,"03, 2019",Not Found
CODE|83196,BEST WESTERN PLUS Hotel Böttcherhof,1068,26700,16020,"05, 2019",Germany
CODE|83161,Best Western Plus Hotel Bern,894,25926,17880,"03, 2019",Switzerland
CODE|83126,BEST WESTERN PLUS Hotel Bahnhof,913,22825,14608,"02, 2019",Switzerland
CODE|83091,BEST WESTERN PLUS Hotel Arcadia,1853,51884,35207,"02, 2019",Austria
CODE|83056,Best Western Plus Hotel Amstelveen,1200,32400,22800,"02, 2019",هولندا
CODE|83021,Best Western Plus Hotel Ambra,354,7434,7080,"11, 2019",Hungary
CODE|82986,Best Western Plus Hotel Alfa Aeropuerto,432,10800,6480,"04, 2019",Spain
CODE|82951,Best Western Plus Hospitality House,90,1980,1800,"03, 2019",USA
CODE|82916,Best Western Plus Hill House,185,5180,3515,"01, 2019",USA
CODE|82881,Best Western Plus Heritage Inn Rancho Cucamonga/Ontario,1270,25400,20320,"06, 2019",USA
CODE|82846,Best Western Plus Henderson Hotel,730,19710,10950,"04, 2019",USA
CODE|82811,Best Western Plus Hawthorne Terrace Hotel,526,13676,7890,"07, 2019",USA
CODE|82776,Best Western Plus Hacienda Hotel Old Town,219,6132,3504,"12, 2019",USA
CODE|82741,Best Western Plus Grosvenor Airport Hotel,469,10787,8911,"01, 2019",USA
CODE|82706,Best Western Plus Grand Hotel Victor Hugo,1313,38077,23634,"12, 2019",لوكسمبورغ
CODE|82671,Best Western Plus Glendale,168,5040,2856,"07, 2019",USA
CODE|82636,BEST WESTERN PLUS Garden City Hotel,1087,32610,21740,"07, 2019",Australia
CODE|82601,Best Western Plus Fursan,1332,35964,22644,"06, 2019",Saudi Arabia
CODE|82566,Best Western Plus Fresno Inn,1039,21819,16624,"01, 2019",USA
CODE|82531,Best Western Plus Fresno Airport Hotel,938,22512,16884,"10, 2019",USA
CODE|82496,Best Western Plus French Quarter Landmark Hotel,1140,33060,18240,"10, 2019",USA
CODE|82461,Best Western Plus Fort Wayne Inn & Suites North,1762,52860,28192,"11, 2019",USA
CODE|82426,Best Western Plus Fergus Hotel,819,18018,13923,"08, 2019",Canada
CODE|82391,Best Western Plus Fairfield Executive Inn,837,24273,14229,"03, 2019",USA
CODE|82356,Best Western Plus Expocenter Hotel,1145,33205,19465,"12, 2019",Not Found
CODE|82321,Best Western Plus Executive Residency Happy Valley/North Phoenix,401,12030,6817,"03, 2019",USA
CODE|82286,Best Western Plus Executive Inn,497,12425,7952,"02, 2019",USA
CODE|82251,BEST WESTERN PLUS Executive Hotel and Suites,793,18239,15067,"02, 2019",Italy
CODE|82251,BEST WESTERN PLUS Executive Hotel and Suites,793,18239,15067,"02, 2019",Italy
CODE|82251,BEST WESTERN PLUS Executive Hotel and Suites,793,18239,15067,"02, 2019",Italy
CODE|82251,BEST WESTERN PLUS Executive Hotel and Suites,793,18239,15067,"02, 2019",Italy
CODE|82216,Best Western Plus Executive Court Inn & Conference Center,435,9570,8700,"05, 2019",USA
CODE|82216,Best Western Plus Executive Court Inn & Conference Center,435,9570,8700,"05, 2019",USA
CODE|82216,Best Western Plus Executive Court Inn & Conference Center,435,9570,8700,"05, 2019",USA
CODE|82216,Best Western Plus Executive Court Inn & Conference Center,435,9570,8700,"05, 2019",USA
CODE|82181,BEST WESTERN PLUS Excelsior Chamonix Hôtel&Spa,1514,43906,27252,"02, 2019",فرنسا
CODE|82146,Best Western Plus Encina Inn & Suites,812,17864,12992,"05, 2019",USA
CODE|82111,Best Western Plus Embassy Hotel,713,18538,12834,"01, 2019",Greece
CODE|82076,Best Western Plus El Rancho Inn,300,6300,6000,"07, 2019",USA
CODE|82041,Best Western Plus Durham Hotel & Conference Centre,624,17472,9984,"04, 2019",Canada
CODE|82006,Best Western Plus Dryden Hotel & Conference Centre,273,5460,4914,"07, 2019",Canada
CODE|81971,Best Western Plus Dfw Airport Suites,859,17180,13744,"07, 2019",USA
CODE|81936,Best Western Plus Dallas Love Field North Hotel,736,18400,11776,"04, 2019",USA
CODE|81901,Best Western Plus Crossroads Inn & Suites,1847,48022,27705,"02, 2019",أمريكا
CODE|81866,Best Western Plus Couchiching Inn,171,4959,3249,"02, 2019",Canada
CODE|81831,Best Western Plus Congress Hotel,789,20514,11835,"01, 2019",Armenia
CODE|81796,Best Western Plus Commerce Hotel,1900,45600,34200,"12, 2019",USA
CODE|81761,Best Western Plus Cobourg Inn & Convention Centre,1857,55710,29712,"05, 2019",Not Found
CODE|81726,Best Western Plus City Hotel,34,782,680,"09, 2019",Italy
CODE|81691,Best Western Plus CHC Florence,48,1248,912,"03, 2019",Italy
CODE|81656,Best Western Plus Chateau Granville Hotel & Suites & Conference Ctr.,1950,46800,39000,"02, 2019",Canada
CODE|81621,Best Western Plus Chandler Hotel & Suites,928,24128,14848,"06, 2019",USA
CODE|81586,Best Western Plus Centre Hotel,470,13630,9400,"05, 2019",Turkey
CODE|81551,Best Western Plus Celebrity Suites,1709,35889,34180,"12, 2019",Austria
CODE|81516,Best Western Plus Casino Royale – Center Strip,637,13377,10829,"11, 2019",USA
CODE|81481,Best Western Plus Camperdown Suites,1106,27650,16590,"07, 2019",Australia
CODE|81446,Best Western Plus Cambridge Hotel,175,4025,3500,"01, 2019",Canada
CODE|81411,Best Western Plus Calgary Centre Inn,1009,30270,17153,"10, 2019",Canada
CODE|81376,Best Western Plus Burlington Inn & Suites,1307,32675,22219,"02, 2019",Canada
CODE|81341,Best Western Plus Buraidah,1278,37062,19170,"06, 2019",السعودية
CODE|81306,Best Western Plus Buckingham International,1469,44070,27911,"02, 2019",Australia
CODE|81271,BEST WESTERN PLUS Bruntsfield Hotel,766,21448,13022,"03, 2019",UK
CODE|81236,Best Western Plus Brunswick Inn & Suites,338,10140,6422,"02, 2019",USA
CODE|81201,Best Western Plus Brookside Inn,1095,31755,17520,"11, 2019",USA
CODE|81166,Best Western Plus Bristol Hotel,184,3864,3312,"12, 2019",Bulgaria
CODE|81131,Best Western Plus Bowmanville,1009,24216,19171,"06, 2019",Canada
CODE|81096,Best Western Plus Boston Hotel,1107,32103,19926,"09, 2019",USA
CODE|81061,Best Western Plus Bayside Inn,314,6908,6280,"12, 2019",USA
CODE|81026,Best Western Plus Barrie,1081,24863,16215,"12, 2019",Canada
CODE|80991,Best Western Plus Barclay Hotel,1226,25746,19616,"07, 2019",Canada
CODE|80956,Best Western Plus Austin City Hotel,932,22368,18640,"04, 2019",USA
CODE|80921,Best Western Plus Austin Central,1178,24738,20026,"05, 2019",USA
CODE|80886,Best Western Plus Atlantic Beach Resort,1471,36775,27949,"08, 2019",USA
CODE|80851,Best Western Plus At Lake Powell,614,17192,9210,"03, 2019",USA
CODE|80816,Best Western Plus Arroyo Roble Hotel & Creekside Villas,1609,35398,25744,"07, 2019",USA
CODE|80781,Best Western Plus Anaheim Inn,265,5830,4770,"02, 2019",USA
CODE|80746,Best Western Plus Americania,120,3000,2040,"02, 2019",Not Found
CODE|80711,Best Western Plus Amedia Wien,110,2310,1760,"06, 2019",النمسا
CODE|80676,Best Western Plus Amedia Hotel,559,13975,9503,"12, 2019",النمسا
CODE|80641,BEST WESTERN PLUS Amedia Art Salzburg,1095,22995,19710,"02, 2019",Austria
CODE|80606,Best Western Plus Amazon Hotel,394,8668,7486,"11, 2019",Greece
CODE|80571,Best Western Plus Al Qurayyat City Center,570,15960,10260,"03, 2019",Saudi Arabia
CODE|80536,Best Western Plus Airport Plaza,1626,47154,24390,"08, 2019",USA
CODE|80501,Best Western Plus Airport Hotel Copenhagen,636,12720,12720,"06, 2019",Not Found
CODE|80466,Best Western Plus Aalener Römerhotel,331,7282,6620,"09, 2019",Germany
CODE|80431,Best Western Plus A Wayfarer's Inn And Suites,748,16456,12716,"10, 2019",USA
CODE|80396,Best Western Plus 93 Park Hotel,1346,33650,21536,"11, 2019",Colombia
CODE|80361,Best Western Plus 61 Paris Nation Hotel,1547,35581,29393,"06, 2019",France
CODE|80326,BEST WESTERN PLUS @20 Sukhumvit,139,2919,2224,"02, 2019",Thailand
CODE|80291,Best Western Plaza Hotel Grevenbroich,1669,38387,30042,"07, 2019",Germany
CODE|80256,Best Western Pine Tree Motel,100,2500,1900,"02, 2019",Not Found
CODE|80221,BEST WESTERN Phuket Ocean Resort,1372,39788,26068,"10, 2019",Thailand
CODE|80186,Best Western Pembroke Inn & Conference Centre,1948,56492,31168,"10, 2019",Canada
CODE|80151,Best Western Pasadena Royale Inn & Suites,1705,34100,32395,"06, 2019",USA
CODE|80116,Best Western Parkway Inn & Conference Centre,905,24435,16290,"06, 2019",Canada
CODE|80081,Best Western Parkway Hotel Toronto North,1224,28152,18360,"09, 2019",Canada
CODE|80046,Best Western Park Hotel,1010,30300,19190,"11, 2019",Italy
CODE|80011,Best Western Park Airport Hotel,886,21264,17720,"12, 2019",Sweden
CODE|79976,Best Western Paris Saint-Quentin,1576,44128,23640,"02, 2019",France
CODE|79941,BEST WESTERN Paris Porte de Versailles,1108,23268,17728,"03, 2019",France
CODE|79906,Best Western Paris Meudon Ermitage,299,6578,5382,"04, 2019",France
CODE|79871,Best Western Paris Italie,1037,20740,15555,"08, 2019",France
CODE|79836,Best Western Paramus Hotel & Suites,1797,39534,30549,"04, 2019",USA
CODE|79801,Best Western Palm Hotel,221,5304,3978,"10, 2019",Not Found
CODE|79766,Best Western Palm Garden Inn,326,6846,6194,"01, 2019",USA
CODE|79731,Best Western Paint Pony Lodge,1904,51408,34272,"09, 2019",Not Found
CODE|79696,Best Western Oxford Suites Makati,499,9980,7984,"12, 2019",Philippines
CODE|79661,Best Western Orlando West,1505,36120,25585,"03, 2019",USA
CODE|79626,Best Western Orlando Gateway Hotel,396,10296,7920,"11, 2019",USA
CODE|79591,BEST WESTERN Opéra Batignolles,766,19150,15320,"07, 2019",France
CODE|79556,Best Western Nouvel Orléans Montparnasse,1549,40274,30980,"02, 2019",France
CODE|79521,Best Western Norwalk Inn,1426,41354,28520,"07, 2019",USA
CODE|79486,Best Western Northwest Inn,595,14875,10710,"08, 2019",USA
CODE|79451,Best Western Northfields Ealing Hotel,1410,29610,26790,"05, 2019",UK
CODE|79416,Best Western Northbridge Apartments,776,19400,14744,"06, 2019",Not Found
CODE|79381,Best Western North Phoenix Hotel,650,16900,11700,"06, 2019",USA
CODE|79346,Best Western North Bay Hotel & Conference Centre,732,21960,10980,"09, 2019",Canada
CODE|79311,Best Western North Attleboro / Providence Beltway,1835,42205,36700,"02, 2019",USA
CODE|79276,BEST WESTERN Nordic Hotel Ambiente,1158,33582,19686,"11, 2019",Germany
CODE|79241,Best Western Niceville - Eglin AFB Hotel,1762,45812,28192,"03, 2019",USA
CODE|79206,Best Western Naples Inn & Suites,665,16625,13300,"07, 2019",USA
CODE|79171,Best Western Museumhotels Delft,574,13776,11480,"08, 2019",Netherlands
CODE|79136,Best Western M-Treize Paris Asnieres,163,3586,2934,"01, 2019",فرنسا
CODE|79101,BEST WESTERN Mornington Hotel,498,13944,7470,"10, 2019",UK
CODE|79066,Best Western Moreno Hotel & Suites,1560,34320,23400,"03, 2019",USA
CODE|79031,Best Western Montecristo,1399,33576,27980,"01, 2019",France
CODE|78996,Best Western Mission Bay,45,1080,675,"12, 2019",USA
CODE|78961,BEST WESTERN Mirage Hotel Fiera,366,10980,7320,"02, 2019",Italy
CODE|78926,Best Western Miner's Inn,813,23577,16260,"10, 2019",USA
CODE|78891,Best Western Mill River Manor,1832,53128,32976,"04, 2019",USA
CODE|78856,Best Western Mercedes Arc de triomphe,282,6486,5358,"02, 2019",France
CODE|78821,Best Western Mccarran Inn,291,8439,5529,"11, 2019",USA
CODE|78786,Best Western Market Center,1402,42060,25236,"10, 2019",USA
CODE|78751,Best Western Marina del Rey,64,1920,1024,"07, 2019",Chile
CODE|78716,Best Western Mangga Dua Hotel and Residence,328,7216,5904,"03, 2019",Indonesia
CODE|78681,Best Western Mahoneys Motor Inn,401,8020,6416,"10, 2019",Australia
CODE|78646,Best Western Macrander Hotel Frankfurt/Kaiserlei,1626,48780,26016,"06, 2019",Germany
CODE|78611,BEST WESTERN Macrander Hotel Dresden,452,11752,8136,"10, 2019",Germany
CODE|78576,Best Western Luxury Inn,703,16169,10545,"06, 2019",USA
CODE|78541,Best Western Luna Del Mar,733,20524,10995,"02, 2019",Mexico
CODE|78506,Best Western Louisville East,884,23868,16796,"10, 2019",USA
CODE|78471,Best Western Los Angeles Worldport Hotel,932,27960,14912,"05, 2019",USA
CODE|78436,BEST WESTERN London Peckham Hotel,409,11043,6135,"06, 2019",UK
CODE|78401,Best Western London Highbury,1844,47944,31348,"09, 2019",UK
CODE|78366,Best Western London Heathrow Ariel Hotel,681,14982,12258,"03, 2019",UK
CODE|78331,Best Western London Airport Inn & Suites,869,19118,15642,"10, 2019",Canada
CODE|78296,Best Western Little River Inn,211,4642,3165,"05, 2019",Canada
CODE|78261,Best Western Linko Hotel,226,4520,3616,"11, 2019",France
CODE|78226,Best Western Le Patio des Artistes,465,10695,7905,"09, 2019",فرنسا
CODE|78191,Best Western Las Mercedes Airport,123,3321,1845,"11, 2019",Nicaragua
CODE|78156,Best Western Lakmi Nice,78,1950,1326,"06, 2019",فرنسا
CODE|78121,Best Western Lake Lucille Inn,1580,36340,26860,"03, 2019",USA
CODE|78086,Best Western Laegreid Hotell Sogndal,1211,36330,19376,"02, 2019",Norway
CODE|78051,BEST WESTERN La Baia Palace Hotel,877,17540,13155,"10, 2019",Italy
CODE|78016,Best Western L’Oree Paris Sud,454,9080,8626,"08, 2019",فرنسا
CODE|77981,Best Western Kutaisi Hotel,1159,31293,23180,"11, 2019",Georgia
CODE|77946,Best Western Kodiak Inn And Convention Center,1256,36424,18840,"02, 2019",Not Found
CODE|77911,Best Western King Salmon Motel,247,6422,3952,"11, 2019",USA
CODE|77876,Best Western Kensington Olympia Hotel,1044,22968,17748,"03, 2019",Not Found
CODE|77841,Best Western Kampen Hotell,1099,31871,17584,"08, 2019",Not Found
CODE|77806,Best Western Kampen Apartment Hotel,753,21837,12801,"01, 2019",Not Found
CODE|77771,Best Western Kamala Jimbaran,1454,39258,23264,"12, 2019",Indonesia
CODE|77736,Best Western John Jay Inn,1054,29512,21080,"12, 2019",USA
CODE|77701,Best Western JFK Hotel,1393,34825,26467,"09, 2019",Italy
CODE|77666,Best Western Jasper Inn & Suites,838,17598,14246,"09, 2019",Canada
CODE|77631,Best Western Jamaica Inn,548,15892,10412,"04, 2019",USA
CODE|77596,Best western Irazú,1379,35854,24822,"03, 2019",Costa Rica
CODE|77561,Best Western International Drive - Orlando,1731,39813,25965,"07, 2019",USA
CODE|77526,Best Western Innsuites Yuma Mall Hotel & Suites,1312,28864,24928,"10, 2019",USA
CODE|77491,Best Western Innsuites Tucson Foothills Hotel & Suites,1143,25146,22860,"07, 2019",USA
CODE|77456,Best Western Inn On The Hill,1758,43950,35160,"06, 2019",Canada
CODE|77421,Best Western Inn On The Bay,1225,36750,23275,"06, 2019",Canada
